Year,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
Crime Type,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society,Recorded crime - all offences,Robbery,Burglary - Residential,Burglary - Business & Community,Vehicle offences,Theft from the person,Bicycle theft,Shoplifting,All other theft offences,Criminal damage,Trafficking of drugs,Possession of drugs,Possession of weapons offences,Public order offences,Miscellaneous crimes against society
Northern Ireland,"107,490","1,143","8,301",791,861,"5,257","10,898","30,426",530,"2,191",799,"1,602","1,860","108,870","1,283","7,906",637,997,"6,214","12,113","27,904",607,"2,367",794,"1,895","2,618","107,951","1,276","8,221",591,983,"6,754","11,580","25,862",668,"2,478",804,"1,995","2,729","103,676","1,306","6,933",530,"1,027","6,371","11,762","24,483",762,"2,723",741,"1,682","2,252","102,009","1,221","6,017",609,"1,058","6,201","12,805","22,758",846,"2,934",714,"1,679","2,314","98,558","1,014","5,339",661,"1,073","5,890","13,067","20,959",890,"3,488",651,"1,517","2,191","100,917",958,"5,609",576,"1,097","6,372","13,302","19,889",968,"3,764",727,"1,536","2,415","103,177",880,"5,089",514,966,"6,495","13,443","19,830",871,"4,177",772,"1,447","2,746","104,926",732,"4,924",558,718,"6,772","12,384","20,511",873,"4,676",921,"1,468","2,872","98,014",653,"4,419",413,844,"6,162","12,038","19,487",828,"4,588",890,"1,215","2,845","98,301",577,"5,000","1,826","3,885",439,863,"6,279","11,970","18,290",854,"5,648","1,000","1,107","2,958"
Belfast East,"5,126",57,386,27,45,223,508,"1,514",19,97,31,56,50,"5,571",55,309,30,81,260,589,"1,519",32,88,43,107,80,"5,378",71,377,33,54,299,534,"1,207",28,108,41,114,80,"5,151",105,385,23,69,366,601,"1,099",33,139,36,91,80,"5,199",73,282,30,71,366,719,"1,092",44,157,37,73,83,"5,497",95,272,38,107,325,885,"1,206",36,164,38,81,75,"5,855",59,301,20,96,404,866,"1,305",48,140,58,105,118,"6,033",64,244,30,84,455,927,"1,318",46,170,38,77,137,"5,794",53,192,33,52,415,856,"1,199",42,193,49,76,123,"5,496",40,247,39,68,374,839,"1,062",51,184,49,72,128,"5,351",34,292,95,175,26,75,450,776,"1,044",51,223,68,55,132
Belfast North,"10,426",248,946,138,74,441,895,"2,953",41,224,78,200,179,"10,143",239,769,84,89,472,874,"2,766",52,259,97,202,296,"10,215",199,723,99,101,499,817,"2,766",71,267,102,186,245,"9,846",196,667,64,114,482,824,"2,468",76,248,86,183,180,"9,278",211,625,91,114,462,"1,014","2,264",83,252,106,182,152,"9,187",146,449,77,112,511,"1,260","2,153",71,265,63,191,136,"9,606",155,488,87,89,672,"1,377","2,103",89,278,72,188,151,"10,023",154,437,68,71,624,"1,477","2,084",78,370,85,150,206,"10,406",128,512,65,78,653,"1,310","2,118",92,458,96,165,206,"9,665",81,477,34,129,570,"1,263","2,053",71,421,97,145,184,"9,551",88,518,153,333,23,118,515,"1,324","1,929",71,493,111,111,218
Belfast South,"11,442",224,"1,295",187,192,840,"1,228","2,612",43,189,73,92,112,"12,401",237,"1,255",187,263,"1,036","1,338","2,656",59,208,89,118,175,"11,400",266,"1,346",142,245,"1,085","1,161","2,086",65,254,92,104,143,"11,289",279,"1,006",150,339,"1,038","1,277","2,115",71,322,81,125,121,"11,647",247,"1,108",188,330,"1,129","1,527","2,045",64,287,83,130,154,"11,721",230,976,202,319,"1,038","1,859","2,080",81,330,75,148,154,"12,715",254,927,200,370,978,"2,274","2,017",81,351,70,120,187,"13,181",190,764,167,332,"1,090","2,452","1,935",84,467,64,114,194,"13,307",148,693,175,240,"1,225","2,144","1,865",78,560,78,121,191,"12,564",154,716,159,313,"1,093","2,054","1,920",89,526,112,103,178,"12,382",100,779,280,578,156,317,"1,090","2,045","1,739",118,678,122,107,209
Belfast West,"9,499",158,"1,164",130,70,660,659,"2,683",38,149,104,163,198,"9,088",169,937,78,56,786,671,"2,354",41,223,61,214,241,"9,416",175,"1,201",79,84,859,723,"2,222",40,202,86,223,244,"8,990",227,919,73,74,849,684,"2,097",54,204,70,195,192,"8,796",223,822,81,96,721,791,"2,031",63,249,92,178,192,"8,450",170,648,107,122,675,933,"1,875",72,342,70,145,144,"8,371",149,632,71,124,632,"1,003","1,736",60,331,70,103,178,"8,756",148,589,72,87,561,"1,127","1,761",69,328,71,162,225,"9,412",120,780,84,66,541,"1,224","1,920",55,331,62,174,183,"8,281",85,533,45,85,498,"1,173","1,683",57,310,75,108,196,"8,084",87,326,100,522,55,110,508,"1,090","1,581",40,417,87,130,217
East Antrim,"3,939",21,253,19,39,98,375,"1,234",19,83,36,59,56,"4,068",32,261,10,64,193,474,"1,137",16,85,31,71,59,"3,690",20,186,20,38,170,447,"1,057",27,47,17,59,68,"3,660",24,137,15,37,156,465,"1,005",27,47,11,62,57,"3,433",36,141,8,32,133,484,922,19,56,12,67,50,"2,928",30,94,10,19,139,421,790,22,61,12,63,70,"3,113",13,103,8,20,157,449,675,28,74,30,85,54,"3,236",18,100,9,15,231,426,685,23,98,31,38,66,"3,173",19,110,10,10,179,319,735,32,99,32,49,102,"3,147",18,84,2,11,143,375,783,27,130,41,67,73,"3,169",19,140,48,83,5,12,189,325,652,20,195,33,68,99
East Londonderry,"6,532",29,274,20,77,244,596,"2,014",78,224,69,81,115,"7,230",36,290,29,93,275,792,"1,945",61,206,44,116,200,"6,500",21,247,10,89,249,749,"1,590",55,242,50,100,220,"5,921",15,210,17,49,212,713,"1,458",65,280,44,80,166,"5,785",28,173,30,48,196,779,"1,419",76,200,27,98,169,"5,740",15,165,19,67,258,690,"1,369",81,249,38,75,174,"5,282",15,204,7,43,222,629,"1,090",74,250,30,74,159,"5,251",25,236,21,43,209,612,"1,053",63,289,40,38,141,"5,007",30,140,16,21,231,499,"1,083",66,275,48,54,148,"4,669",18,159,13,22,195,452,"1,016",47,266,54,38,142,"4,651",11,239,72,118,8,28,211,446,958,36,323,28,42,150
Fermanagh and South Tyrone,"5,016",33,354,8,19,175,678,"1,496",27,97,58,60,146,"4,922",20,409,16,19,256,688,"1,264",33,104,48,66,151,"5,264",45,389,16,24,358,757,"1,281",34,104,35,45,166,"5,029",28,323,17,24,348,728,"1,179",31,126,32,33,137,"5,023",33,252,10,17,300,715,"1,202",46,139,26,36,158,"4,646",18,263,12,17,280,680,934,63,123,34,43,153,"4,536",21,204,9,28,314,634,875,35,130,31,40,149,"4,474",15,250,18,17,279,549,829,42,109,37,43,171,"4,327",17,215,12,9,300,458,881,37,169,44,55,166,"4,176",18,193,14,7,334,495,804,49,204,13,23,144,"4,199",11,243,88,175,30,9,283,451,728,52,230,31,46,139
