Year,1992,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Northern Ireland,"106,147","97,274","88,203","84,152","63,456","57,467","50,805","42,147","39,568","36,523","34,689","30,959","28,708","27,950","24,405","27,855","49,111","56,813","59,910","63,030","62,624","54,101","43,024","36,108","30,475"
Belfast East,,,,,,,,,,,,,"1,195","1,172",992,"1,025","1,945","2,451","2,699","2,971","3,063","2,766","2,136","1,860","1,575"
Belfast North,,,,,,,,,,,,,"2,654","2,679","2,310","2,416","3,758","4,442","4,923","5,370","5,487","4,951","3,858","3,273","2,855"
Belfast South,,,,,,,,,,,,,"1,554","1,468","1,361","1,479","2,497","3,096","3,281","3,441","3,409","2,930","2,290","1,879","1,570"
Belfast West,,,,,,,,,,,,,"3,257","3,295","3,021","3,204","4,657","4,990","5,092","5,481","5,429","4,635","3,704","3,093","2,600"
East Antrim,,,,,,,,,,,,,"1,213","1,135",947,"1,046","2,112","2,314","2,337","2,565","2,585","2,070","1,644","1,559","1,405"
East Londonderry,,,,,,,,,,,,,"1,910","1,682","1,412","1,782","3,160","3,482","3,546","3,600","3,593","2,947","2,448","2,164","1,835"
Fermanagh and South Tyrone,,,,,,,,,,,,,"1,403","1,321","1,145","1,309","2,570","2,874","3,061","3,131","3,095","2,635","2,106","1,737","1,405"
Foyle,,,,,,,,,,,,,"3,300","3,335","2,809","2,978","4,352","4,993","5,451","5,800","5,879","5,670","4,987","4,197","3,590"
Lagan Valley,,,,,,,,,,,,,742,779,684,828,"1,689","1,937","2,102","2,345","2,314","1,908","1,604","1,370","1,100"
Mid Ulster,,,,,,,,,,,,,873,853,698,"1,051","2,621","2,826","2,752","2,773","2,767","2,232","1,631","1,209","1,015"
Newry and Armagh,,,,,,,,,,,,,"1,595","1,422","1,337","1,536","3,076","3,998","4,326","4,240","4,065","3,428","2,414","1,849","1,545"
North Antrim,,,,,,,,,,,,,"1,317","1,386","1,161","1,434","2,621","2,922","3,066","3,242","3,217","2,682","2,138","1,874","1,615"
North Down,,,,,,,,,,,,,"1,079","1,006",901,927,"1,586","1,930","2,064","2,153","2,080","1,866","1,516","1,290","1,130"
South Antrim,,,,,,,,,,,,,946,964,838,969,"1,930","2,195","2,207","2,312","2,245","1,867","1,449","1,309","1,140"
South Down,,,,,,,,,,,,,"1,338","1,201","1,045","1,400","2,776","3,344","3,469","3,504","3,371","2,771","2,138","1,699","1,400"
Strangford,,,,,,,,,,,,,"1,148","1,069",939,"1,031","1,779","2,106","2,310","2,481","2,498","2,176","1,831","1,589","1,410"
Upper Bann,,,,,,,,,,,,,"1,234","1,295","1,175","1,559","3,039","3,527","3,735","4,004","3,879","3,324","2,531","1,996","1,565"
West Tyrone,,,,,,,,,,,,,"1,948","1,888","1,630","1,881","2,946","3,385","3,491","3,616","3,647","3,244","2,601","2,161","1,720"
