Title,Claimant Count : N92000002 Northern Ireland : People : SA : Thousands
CDID,DPBG
Source dataset ID,UNEM
PreUnit,
Unit,
Release date,16/04/2019
Next release,14-May-19
Important notes,
1971,34.1
1972,34.3
1973,26.7
1974,25.5
1975,34.2
1976,44.5
1977,48.8
1978,52.3
1979,52.2
1980,62.5
1981,84.8
1982,95.9
1983,105.4
1984,108.8
1985,111.3
1986,121
1987,119.8
1988,110.7
1989,102.9
1990,95.1
1991,98.7
1992,104.2
1993,103.3
1994,96.7
1995,87.8
1996,83.8
1997,63.4
1998,57.4
1999,50.7
2000,42.1
2001,39.5
2002,36.4
2003,34.6
2004,30.8
2005,28.6
2006,27.9
2007,24.4
2008,27.8
2009,49
2010,56.7
2011,59.8
2012,63
2013,62.5
2014,54
2015,43
2016,36.1
2017,30.4
2018,28.9
1971 Q1,32.4
1971 Q2,33.1
1971 Q3,34.5
1971 Q4,36.6
1972 Q1,36.4
1972 Q2,36.2
1972 Q3,33.4
1972 Q4,31.4
1973 Q1,29.6
1973 Q2,27.9
1973 Q3,25.6
1973 Q4,23.9
1974 Q1,24.8
1974 Q2,24.5
1974 Q3,25.6
1974 Q4,27.1
1975 Q1,28.5
1975 Q2,32.5
1975 Q3,35.5
1975 Q4,40.4
1976 Q1,42.1
1976 Q2,44.1
1976 Q3,45.7
1976 Q4,46
1977 Q1,47
1977 Q2,48.2
1977 Q3,49.6
1977 Q4,50.2
1978 Q1,51.5
1978 Q2,52.9
1978 Q3,53.5
1978 Q4,51.3
1979 Q1,52.2
1979 Q2,51.8
1979 Q3,52.4
1979 Q4,52.3
1980 Q1,54
1980 Q2,57.4
1980 Q3,64.4
1980 Q4,73.9
1981 Q1,80.3
1981 Q2,84.5
1981 Q3,86
1981 Q4,88.6
1982 Q1,91.2
1982 Q2,94.6
1982 Q3,96.9
1982 Q4,101
1983 Q1,102.6
1983 Q2,104.5
1983 Q3,106.9
1983 Q4,107.6
1984 Q1,108.8
1984 Q2,108.9
1984 Q3,108.8
1984 Q4,108.6
1985 Q1,109.6
1985 Q2,110.3
1985 Q3,111.4
1985 Q4,113.9
1986 Q1,117.4
1986 Q2,120.7
1986 Q3,122.6
1986 Q4,123.3
1987 Q1,122.2
1987 Q2,121.1
1987 Q3,119.3
1987 Q4,116.5
1988 Q1,113.3
1988 Q2,111.6
1988 Q3,109.8
1988 Q4,108
1989 Q1,106.9
1989 Q2,104.1
1989 Q3,101.8
1989 Q4,98.9
1990 Q1,96.8
1990 Q2,95.4
1990 Q3,93.8
1990 Q4,94.6
1991 Q1,96.4
1991 Q2,98.1
1991 Q3,99.3
1991 Q4,101
1992 Q1,102.6
1992 Q2,103.9
1992 Q3,104.9
1992 Q4,105.2
1993 Q1,105.5
1993 Q2,103.9
1993 Q3,102.6
1993 Q4,101.1
1994 Q1,99.6
1994 Q2,98.5
1994 Q3,95.8
1994 Q4,93
1995 Q1,90.7
1995 Q2,88.1
1995 Q3,86.6
1995 Q4,85.9
1996 Q1,85.8
1996 Q2,86
1996 Q3,86.1
1996 Q4,77.1
1997 Q1,68.7
1997 Q2,63.4
1997 Q3,61.3
1997 Q4,60.2
1998 Q1,59.2
1998 Q2,57.6
1998 Q3,56.8
1998 Q4,56.2
1999 Q1,55.5
1999 Q2,53
1999 Q3,48.9
1999 Q4,45.5
2000 Q1,43.8
2000 Q2,42.1
2000 Q3,40.9
2000 Q4,41.5
2001 Q1,40.5
2001 Q2,39.9
2001 Q3,39.1
2001 Q4,38.4
2002 Q1,37.8
2002 Q2,37
2002 Q3,35.8
2002 Q4,35.1
2003 Q1,34.7
2003 Q2,34.6
2003 Q3,34.8
2003 Q4,34.3
2004 Q1,32.8
2004 Q2,31.2
2004 Q3,29.9
2004 Q4,29.4
2005 Q1,28.9
2005 Q2,28.6
2005 Q3,28.4
2005 Q4,28.4
2006 Q1,28.2
2006 Q2,28
2006 Q3,28
2006 Q4,27.4
2007 Q1,25.6
2007 Q2,24.6
2007 Q3,23.6
2007 Q4,23.7
2008 Q1,23.7
2008 Q2,25.1
2008 Q3,28.1
2008 Q4,34.4
2009 Q1,41.8
2009 Q2,48.2
2009 Q3,52.1
2009 Q4,53.9
2010 Q1,55.5
2010 Q2,55.8
2010 Q3,57.4
2010 Q4,58.2
2011 Q1,58.8
2011 Q2,59.4
2011 Q3,60.5
2011 Q4,60.6
2012 Q1,61.3
2012 Q2,62.5
2012 Q3,63.6
2012 Q4,64.3
2013 Q1,64.7
2013 Q2,63.7
2013 Q3,62.1
2013 Q4,59.7
2014 Q1,57.9
2014 Q2,55.2
2014 Q3,52.2
2014 Q4,50.8
2015 Q1,46.9
2015 Q2,43.7
2015 Q3,41.7
2015 Q4,39.5
2016 Q1,38.5
2016 Q2,37
2016 Q3,35.4
2016 Q4,33.4
2017 Q1,31.8
2017 Q2,30.9
2017 Q3,29.9
2017 Q4,29.2
2018 Q1,28.7
2018 Q2,28.8
2018 Q3,28.6
2018 Q4,29.4
2019 Q1,29.2
1971 JAN,32.6
1971 FEB,32.5
1971 MAR,32.1
1971 APR,32.7
1971 MAY,33.3
1971 JUN,33.3
1971 JUL,33.7
1971 AUG,34.3
1971 SEP,35.4
1971 OCT,36.4
1971 NOV,36.6
1971 DEC,36.7
1972 JAN,36.8
1972 FEB,36.1
1972 MAR,36.3
1972 APR,38.2
1972 MAY,35.5
1972 JUN,34.8
1972 JUL,34.5
1972 AUG,33.5
1972 SEP,32.3
1972 OCT,31.4
1972 NOV,31.3
1972 DEC,31.4
1973 JAN,29.8
1973 FEB,29.5
1973 MAR,29.4
1973 APR,28.7
1973 MAY,27.8
1973 JUN,27.2
1973 JUL,26.4
1973 AUG,25.5
1973 SEP,24.8
1973 OCT,24.1
1973 NOV,23.8
1973 DEC,23.8
1974 JAN,24.5
1974 FEB,25
1974 MAR,24.9
1974 APR,24.5
